nyårsd,trettond,skärt,långfr,maj1,pingst,juni6,kristh,mids,alhelg,jula,nyårsa,trettond2,maj12,juni62,kristh2,alhelg2,pingst2,mids2,jula2
2020-01-01,2020-01-06,2020-04-09,2020-04-10,2020-05-01,2020-05-31,2020-06-06,2020-06-21,2020-06-19,2020-10-31,2020-12-24,2020-12-31,2020-01-07,2020-05-02,2020-06-07,2020-06-22,2020-11-01,2020-06-01,2020-06-20,2020-12-25
2021-01-01,2021-01-06,2021-04-01,2021-04-02,2021-05-01,2021-05-23,2021-06-06,2021-06-13,2021-06-25,2021-11-06,2021-12-24,2021-12-31,2021-01-07,2021-05-02,2021-06-07,2021-06-14,2021-11-07,2021-05-24,2021-06-26,2021-12-25
2022-01-01,2022-01-06,2022-04-14,2022-04-15,2022-05-01,2022-06-05,2022-06-06,2022-06-26,2022-06-24,2022-11-05,2022-12-24,2022-12-31,2022-01-07,2022-05-02,2022-06-07,2022-06-27,2022-11-06,2022-06-06,2022-06-25,2022-12-25
2023-01-01,2023-01-06,2023-04-06,2023-04-07,2023-05-01,2023-05-28,2023-06-06,2023-06-18,2023-06-23,2023-11-04,2023-12-24,2023-12-31,2023-01-07,2023-05-02,2023-06-07,2023-06-19,2023-11-05,2023-05-29,2023-06-24,2023-12-25
2024-01-01,2024-01-06,2024-03-28,2024-03-29,2024-05-01,2024-05-19,2024-06-06,2024-06-09,2024-06-21,2024-11-02,2024-12-24,2024-12-31,2024-01-07,2024-05-02,2024-06-07,2024-06-10,2024-11-03,2024-05-20,2024-06-22,2024-12-25
2025-01-01,2025-01-06,2025-04-17,2025-04-18,2025-05-01,2025-06-08,2025-06-06,2025-06-29,2025-06-20,2025-11-01,2025-12-24,2025-12-31,2025-01-07,2025-05-02,2025-06-07,2025-06-30,2025-11-02,2025-06-09,2025-06-21,2025-12-25
2026-01-01,2026-01-06,2026-04-02,2026-04-03,2026-05-01,2026-05-24,2026-06-06,2026-06-14,2026-06-19,2026-10-31,2026-12-24,2026-12-31,2026-01-07,2026-05-02,2026-06-07,2026-06-15,2026-11-01,2026-05-25,2026-06-20,2026-12-25
2027-01-01,2027-01-06,2027-03-25,2027-03-26,2027-05-01,2027-05-16,2027-06-06,2027-06-06,2027-06-25,2027-11-06,2027-12-24,2027-12-31,2027-01-07,2027-05-02,2027-06-07,2027-06-07,2027-11-07,2027-05-17,2027-06-26,2027-12-25
2028-01-01,2028-01-06,2028-04-13,2028-04-14,2028-05-01,2028-06-04,2028-06-06,2028-06-25,2028-06-23,2028-11-04,2028-12-24,2028-12-31,2028-01-07,2028-05-02,2028-06-07,2028-06-26,2028-11-05,2028-06-05,2028-06-24,2028-12-25
2029-01-01,2029-01-06,2029-03-29,2029-03-30,2029-05-01,2029-05-20,2029-06-06,2029-06-10,2029-06-22,2029-11-03,2029-12-24,2029-12-31,2029-01-07,2029-05-02,2029-06-07,2029-06-11,2029-11-04,2029-05-21,2029-06-23,2029-12-25
